SiteName,MonitorDate,Concentration,ItemUnit
屏東,2017-07-21,23,μg/m3
前金,2017-07-21,19,μg/m3
美濃,2017-07-21,,μg/m3
臺南,2017-07-21,16,μg/m3
新營,2017-07-21,14,μg/m3
嘉義,2017-07-21,17,μg/m3
朴子,2017-07-21,14,μg/m3
斗六,2017-07-21,19,μg/m3
南投,2017-07-21,15,μg/m3
彰化,2017-07-21,12,μg/m3
忠明,2017-07-21,12,μg/m3
豐原,2017-07-21,13,μg/m3
三義,2017-07-21,11,μg/m3
苗栗,2017-07-21,12,μg/m3
新竹,2017-07-21,13,μg/m3
竹東,2017-07-21,16,μg/m3
平鎮,2017-07-21,17,μg/m3
桃園,2017-07-21,17,μg/m3
萬華,2017-07-21,14,μg/m3
士林,2017-07-21,13,μg/m3
板橋,2017-07-21,15,μg/m3
汐止,2017-07-21,11,μg/m3
基隆,2017-07-21,9,μg/m3
馬公,2017-07-18,11,μg/m3
金門,2017-07-18,11,μg/m3
馬祖,2017-07-18,13,μg/m3
宜蘭,2017-07-18,8,μg/m3
陽明,2017-07-18,18,μg/m3
花蓮,2017-07-18,5,μg/m3
臺東,2017-07-18,5,μg/m3
恆春,2017-07-18,4,μg/m3
屏東,2017-07-18,17,μg/m3
前金,2017-07-18,19,μg/m3
美濃,2017-07-18,,μg/m3
臺南,2017-07-18,21,μg/m3
新營,2017-07-18,18,μg/m3
嘉義,2017-07-18,17,μg/m3
朴子,2017-07-18,18,μg/m3
斗六,2017-07-18,17,μg/m3
南投,2017-07-18,17,μg/m3
