MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
J00894,新豐鄉康泰路轉角_落地型變電箱量測,2016-12-14,新竹縣,新豐鄉,康泰路,落地型變壓器,5.531,mG,True
H01061,龍顯變電所量測,2016-09-21,桃園市,龍潭區,新和路328號,變電所,12.7,mG,True
H01060,聖亭變電所量測,2016-09-21,桃園市,龍潭區,龍科路235號,變電所,19.1,mG,True
H01059,高揚變電所量測,2016-09-21,桃園市,龍潭區,高揚北路80號,變電所,8.9,mG,True
H01058,五權變電所量測,2016-09-02,桃園市,中壢區,領航北路四段51號,變電所,4.7,mG,True
H01057,榮成變電所量測,2016-08-23,桃園市,觀音區,成功路一段501號,變電所,12.8,mG,True
H01056,保生變電所量測,2016-08-23,桃園市,觀音區,大潭11-9號,變電所,2.1,mG,True
H01055,笨港變電所量測,2016-08-23,桃園市,新屋區,榕樹下6鄰36-2號,變電所,25.3,mG,True
H01054,白玉變電所量測,2016-08-23,桃園市,桃園區,成功路2段941號,變電所,22.1,mG,True
C00731,復興路201巷10弄2號旁,2016-08-18,基隆市,中山區,復興路201巷10弄2號,落地型變壓器,3.52,mG,True
H01068,林中變電所量測,2016-10-31,桃園市,龜山區,文化一路51號,變電所,5.8,mG,True
H01067,坪頂變電所量測,2016-10-31,桃園市,龜山區,忠義路二段240巷1號,變電所,4.2,mG,True
H01053,龍潭變電所量測,2016-08-15,桃園市,龍潭區,中原路3段401號,變電所,45.9,mG,True
H01052,福安變電所量測,2016-08-15,桃園市,大溪區,復興路一段495號,變電所,31.2,mG,True
H01051,過嶺變電所量測,2016-08-15,桃園市,中壢區,福祥路310號,變電所,17.1,mG,True
H01050,新屋變電所量測,2016-08-15,桃園市,新屋區,新華路1段44號,變電所,53.5,mG,True
